data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
0_all,yolo11x,56.9,128,3,2,0.5814,0.8699,0.8986,0.7733,0.8313,1160,267,80,YOLOv11,large
0_all,yolo11x,56.9,500,3,2,0.646,0.9279,0.9302,0.8647,0.8962,1160,135,103,YOLOv11,large
a1_t2s,yolo11x,56.9,32,3,2,0.066,0.1378,0.2907,0.1185,0.1683,709,625,95,YOLOv11,large
a1_t2s,yolo11x,56.9,128,3,2,0.1293,0.2488,0.4872,0.2327,0.315,709,538,174,YOLOv11,large
a1_t2s,yolo11x,56.9,500,3,2,0.1065,0.1885,0.3793,0.2059,0.2669,709,551,294,YOLOv11,large
a2_s2t,yolo11x,56.9,32,3,2,0.171,0.3743,0.5382,0.3814,0.4464,451,293,71,YOLOv11,large
a2_s2t,yolo11x,56.9,128,3,2,0.16,0.3579,0.5679,0.3555,0.4373,451,290,88,YOLOv11,large
a2_s2t,yolo11x,56.9,500,3,2,0.2481,0.4631,0.4995,0.4612,0.4796,451,221,208,YOLOv11,large
b_light,yolo11x,56.9,32,3,2,0.3621,0.6333,0.8873,0.5367,0.6688,436,184,64,YOLOv11,large
b_light,yolo11x,56.9,128,3,2,0.4487,0.7307,0.8627,0.6483,0.7403,436,149,40,YOLOv11,large
b_light,yolo11x,56.9,500,3,2,0.5421,0.8153,0.8712,0.7295,0.7941,436,110,54,YOLOv11,large
0_all,rtdetr-x,86.0,32,3,2,0.4735,0.7948,0.855,0.7317,0.7886,1160,232,311,DETR,large
0_all,rtdetr-x,86.0,128,3,2,0.5286,0.8478,0.895,0.775,0.8307,1160,142,629,DETR,large
0_all,rtdetr-x,86.0,500,3,2,0.6177,0.9203,0.9163,0.8448,0.8791,1160,80,361,DETR,large
a1_t2s,rtdetr-x,86.0,32,3,2,0.0487,0.1092,0.2302,0.1443,0.1774,709,577,563,DETR,large
a1_t2s,rtdetr-x,86.0,128,3,2,0.1051,0.1992,0.4084,0.2116,0.2787,709,527,412,DETR,large
a1_t2s,rtdetr-x,86.0,500,3,2,0.1516,0.2606,0.4871,0.2639,0.3423,709,461,519,DETR,large
a2_s2t,rtdetr-x,86.0,32,3,2,0.4073,0.6986,0.8095,0.6275,0.707,451,103,330,DETR,large
a2_s2t,rtdetr-x,86.0,128,3,2,0.3376,0.6206,0.8779,0.5455,0.6729,451,150,282,DETR,large
a2_s2t,rtdetr-x,86.0,500,3,2,0.389,0.703,0.8007,0.6386,0.7105,451,107,274,DETR,large
b_light,rtdetr-x,86.0,32,3,2,0.4339,0.7269,0.8218,0.6697,0.738,436,126,145,DETR,large
b_light,rtdetr-x,86.0,128,3,2,0.4385,0.6976,0.8714,0.5963,0.7081,436,120,278,DETR,large
b_light,rtdetr-x,86.0,500,3,2,0.5417,0.8206,0.8745,0.7673,0.8174,436,80,126,DETR,large
0_all,rtdetr-l,45.0,32,3,2,0.4674,0.7812,0.8618,0.6905,0.7667,1160,196,788,DETR,small
0_all,rtdetr-l,45.0,128,3,2,0.521,0.8444,0.8924,0.7577,0.8195,1160,144,618,DETR,small
0_all,rtdetr-l,45.0,500,3,2,0.6072,0.9233,0.9315,0.8552,0.8917,1160,71,447,DETR,small
a1_t2s,rtdetr-l,45.0,32,3,2,0.1146,0.225,0.5829,0.2129,0.3119,709,513,367,DETR,small
a1_t2s,rtdetr-l,45.0,128,3,2,0.0597,0.1204,0.4633,0.1283,0.201,709,594,396,DETR,small
a1_t2s,rtdetr-l,45.0,500,3,2,0.1869,0.315,0.5804,0.2962,0.3922,709,463,238,DETR,small
a2_s2t,rtdetr-l,45.0,32,3,2,0.4028,0.7336,0.7987,0.6511,0.7174,451,110,203,DETR,small
a2_s2t,rtdetr-l,45.0,128,3,2,0.3874,0.6789,0.7178,0.6146,0.6622,451,100,510,DETR,small
a2_s2t,rtdetr-l,45.0,500,3,2,0.2988,0.5708,0.6205,0.5322,0.5729,451,117,718,DETR,small
b_light,rtdetr-l,45.0,32,3,2,0.4146,0.6988,0.8467,0.6651,0.745,436,117,220,DETR,small
b_light,rtdetr-l,45.0,128,3,2,0.4511,0.7403,0.8709,0.6499,0.7443,436,126,100,DETR,small
b_light,rtdetr-l,45.0,500,3,2,0.5096,0.7727,0.8572,0.702,0.7718,436,106,148,DETR,small
0_all,yolo12n,2.6,32,3,2,0.4179,0.7642,0.8241,0.6793,0.7447,1160,245,585,YOLOv12,small
0_all,yolo12n,2.6,128,3,2,0.5539,0.8685,0.8724,0.7776,0.8223,1160,218,151,YOLOv12,small
0_all,yolo12n,2.6,500,3,2,0.6089,0.9229,0.9243,0.8321,0.8758,1160,103,226,YOLOv12,small
a1_t2s,yolo12n,2.6,32,3,2,0.0474,0.1095,0.3168,0.0942,0.1452,709,648,74,YOLOv12,small
a1_t2s,yolo12n,2.6,128,3,2,0.1162,0.2233,0.5296,0.1721,0.2598,709,583,99,YOLOv12,small
a1_t2s,yolo12n,2.6,500,3,2,0.1283,0.2425,0.4151,0.237,0.3017,709,515,277,YOLOv12,small
a2_s2t,yolo12n,2.6,32,3,2,0.1446,0.3433,0.5586,0.348,0.4288,451,238,241,YOLOv12,small
a2_s2t,yolo12n,2.6,128,3,2,0.2317,0.4425,0.6628,0.3991,0.4982,451,261,78,YOLOv12,small
a2_s2t,yolo12n,2.6,500,3,2,0.3029,0.5389,0.7566,0.4481,0.5629,451,193,181,YOLOv12,small
b_light,yolo12n,2.6,32,3,2,0.3637,0.6441,0.7974,0.5778,0.6701,436,182,53,YOLOv12,small
b_light,yolo12n,2.6,128,3,2,0.4759,0.7625,0.8874,0.6972,0.7809,436,119,69,YOLOv12,small
b_light,yolo12n,2.6,500,3,2,0.5066,0.7912,0.8626,0.7179,0.7836,436,103,103,YOLOv12,small
0_all,yolo11n,2.6,32,3,2,0.4649,0.7779,0.8393,0.6753,0.7484,1160,351,144,YOLOv11,small
0_all,yolo11n,2.6,128,3,2,0.5615,0.8672,0.9193,0.7784,0.843,1160,227,93,YOLOv11,small
0_all,yolo11n,2.6,500,3,2,0.6139,0.919,0.9164,0.8284,0.8702,1160,130,215,YOLOv11,small
a1_t2s,yolo11n,2.6,32,3,2,0.0537,0.1389,0.168,0.1185,0.139,709,658,51,YOLOv11,small
a1_t2s,yolo11n,2.6,128,3,2,0.1097,0.2113,0.496,0.1566,0.238,709,596,94,YOLOv11,small
a1_t2s,yolo11n,2.6,500,3,2,0.1614,0.2993,0.4682,0.3061,0.3702,709,462,356,YOLOv11,small
a2_s2t,yolo11n,2.6,32,3,2,0.1857,0.4102,0.5679,0.357,0.4384,451,302,55,YOLOv11,small
a2_s2t,yolo11n,2.6,128,3,2,0.198,0.3832,0.6338,0.3614,0.4603,451,280,84,YOLOv11,small
a2_s2t,yolo11n,2.6,500,3,2,0.375,0.6888,0.7304,0.6253,0.6737,451,147,110,YOLOv11,small
b_light,yolo11n,2.6,32,3,2,0.4128,0.6953,0.8307,0.6009,0.6974,436,184,39,YOLOv11,small
b_light,yolo11n,2.6,128,3,2,0.4674,0.7805,0.8617,0.6717,0.755,436,124,89,YOLOv11,small
b_light,yolo11n,2.6,500,3,2,0.5505,0.8417,0.9124,0.7385,0.8163,436,96,59,YOLOv11,small
0_all,yolo12x,59.1,32,1,1,0.382,0.6891,0.8161,0.581,0.6788,1160,465,131,YOLOv12,large
0_all,yolo12x,59.1,128,1,1,0.5653,0.8687,0.9294,0.7595,0.8359,1160,246,96,YOLOv12,large
0_all,yolo12x,59.1,500,1,1,0.6398,0.9325,0.8988,0.8731,0.8858,1160,122,106,YOLOv12,large
a1_t2s,yolo12x,59.1,32,1,1,0.0375,0.083,0.1333,0.0564,0.0793,709,688,47,YOLOv12,large
a1_t2s,yolo12x,59.1,128,1,1,0.0946,0.1787,0.3565,0.1749,0.2347,709,567,239,YOLOv12,large
a1_t2s,yolo12x,59.1,500,1,1,0.1335,0.2394,0.561,0.2145,0.3104,709,530,276,YOLOv12,large
a2_s2t,yolo12x,59.1,32,1,1,0.1686,0.4204,0.5057,0.4191,0.4583,451,237,206,YOLOv12,large
a2_s2t,yolo12x,59.1,128,1,1,0.2234,0.4678,0.6618,0.4435,0.5311,451,264,45,YOLOv12,large
a2_s2t,yolo12x,59.1,500,1,1,0.3567,0.6554,0.7359,0.5787,0.6479,451,128,253,YOLOv12,large
b_light,yolo12x,59.1,32,1,1,0.3534,0.6056,0.8094,0.4725,0.5967,436,242,27,YOLOv12,large
b_light,yolo12x,59.1,128,1,1,0.4928,0.7572,0.8955,0.6606,0.7603,436,153,25,YOLOv12,large
b_light,yolo12x,59.1,500,1,1,0.5321,0.7993,0.8817,0.7352,0.8018,436,109,58,YOLOv12,large
0_all,yolo11x,56.9,32,1,1,0.3955,0.7274,0.7521,0.6565,0.7011,1160,303,413,YOLOv11,large
0_all,yolo11x,56.9,128,1,1,0.5792,0.8594,0.9053,0.7552,0.8235,1160,280,69,YOLOv11,large
0_all,yolo11x,56.9,500,1,1,0.6188,0.9303,0.892,0.8612,0.8763,1160,134,139,YOLOv11,large
a1_t2s,yolo11x,56.9,32,1,1,0.0202,0.0483,0.1337,0.048,0.0706,709,676,130,YOLOv11,large
a1_t2s,yolo11x,56.9,128,1,1,0.0909,0.1869,0.3557,0.1777,0.237,709,583,193,YOLOv11,large
a1_t2s,yolo11x,56.9,500,1,1,0.1146,0.2127,0.3645,0.2158,0.2711,709,567,179,YOLOv11,large
a2_s2t,yolo11x,56.9,32,1,1,0.0843,0.2135,0.4434,0.1907,0.2667,451,381,36,YOLOv11,large
a2_s2t,yolo11x,56.9,128,1,1,0.1993,0.4427,0.6808,0.3747,0.4834,451,298,34,YOLOv11,large
a2_s2t,yolo11x,56.9,500,1,1,0.3334,0.5939,0.6819,0.5432,0.6047,451,170,170,YOLOv11,large
b_light,yolo11x,56.9,32,1,1,0.3709,0.6419,0.7867,0.5583,0.6531,436,190,49,YOLOv11,large
b_light,yolo11x,56.9,128,1,1,0.4918,0.7522,0.8856,0.6567,0.7541,436,155,27,YOLOv11,large
b_light,yolo11x,56.9,500,1,1,0.5075,0.7895,0.8874,0.6835,0.7722,436,117,76,YOLOv11,large
0_all,rtdetr-x,86.0,32,1,1,0.4582,0.7635,0.8505,0.6905,0.7622,1160,326,167,DETR,large
0_all,rtdetr-x,86.0,128,1,1,0.5665,0.8697,0.8967,0.8009,0.8461,1160,142,364,DETR,large
0_all,rtdetr-x,86.0,500,1,1,0.6217,0.9164,0.9084,0.8448,0.8754,1160,72,507,DETR,large
a1_t2s,rtdetr-x,86.0,32,1,1,0.0371,0.1002,0.2901,0.1213,0.1711,709,598,342,DETR,large
a1_t2s,rtdetr-x,86.0,128,1,1,0.1124,0.2358,0.3915,0.2948,0.3363,709,448,590,DETR,large
a1_t2s,rtdetr-x,86.0,500,1,1,0.1464,0.2384,0.5597,0.2241,0.3201,709,499,501,DETR,large
a2_s2t,rtdetr-x,86.0,32,1,1,0.2174,0.4652,0.5699,0.4612,0.5098,451,201,262,DETR,large
a2_s2t,rtdetr-x,86.0,128,1,1,0.3791,0.7003,0.8223,0.5987,0.6929,451,100,346,DETR,large
a2_s2t,rtdetr-x,86.0,500,1,1,0.4082,0.7012,0.7729,0.6035,0.6778,451,94,613,DETR,large
b_light,rtdetr-x,86.0,32,1,1,0.3897,0.6847,0.7921,0.6466,0.712,436,128,196,DETR,large
b_light,rtdetr-x,86.0,128,1,1,0.4319,0.6842,0.7823,0.6055,0.6826,436,104,550,DETR,large
b_light,rtdetr-x,86.0,500,1,1,0.4896,0.7753,0.8457,0.704,0.7684,436,85,298,DETR,large
0_all,rtdetr-l,45.0,32,1,1,0.4902,0.8227,0.8619,0.7681,0.8123,1160,181,455,DETR,small
0_all,rtdetr-l,45.0,128,1,1,0.5627,0.8666,0.9065,0.7937,0.8464,1160,148,409,DETR,small
0_all,rtdetr-l,45.0,500,1,1,0.5862,0.9001,0.8952,0.8241,0.8582,1160,93,618,DETR,small
a1_t2s,rtdetr-l,45.0,32,1,1,0.1079,0.2317,0.5824,0.2172,0.3164,709,519,270,DETR,small
a1_t2s,rtdetr-l,45.0,128,1,1,0.1258,0.238,0.3813,0.2595,0.3089,709,483,407,DETR,small
a1_t2s,rtdetr-l,45.0,500,1,1,0.1454,0.2499,0.5734,0.2384,0.3367,709,499,326,DETR,small
a2_s2t,rtdetr-l,45.0,32,1,1,0.281,0.5311,0.6219,0.5078,0.5591,451,179,246,DETR,small
a2_s2t,rtdetr-l,45.0,128,1,1,0.3244,0.6131,0.772,0.5255,0.6253,451,155,285,DETR,small
a2_s2t,rtdetr-l,45.0,500,1,1,0.4601,0.765,0.7956,0.6718,0.7285,451,58,613,DETR,small
b_light,rtdetr-l,45.0,32,1,1,0.4147,0.6759,0.8809,0.5935,0.7092,436,139,100,DETR,small
b_light,rtdetr-l,45.0,128,1,1,0.436,0.7136,0.8612,0.6353,0.7312,436,119,215,DETR,small
b_light,rtdetr-l,45.0,500,1,1,0.5009,0.7763,0.8224,0.7041,0.7587,436,89,235,DETR,small
0_all,yolo12n,2.6,32,1,1,0.4169,0.7691,0.8737,0.6442,0.7416,1160,303,284,YOLOv12,small
0_all,yolo12n,2.6,128,1,1,0.5264,0.8556,0.885,0.7897,0.8346,1160,198,179,YOLOv12,small
0_all,yolo12n,2.6,500,1,1,0.6201,0.9188,0.9187,0.85,0.883,1160,136,119,YOLOv12,small
a1_t2s,yolo12n,2.6,32,1,1,0.0365,0.0992,0.2342,0.0804,0.1197,709,653,111,YOLOv12,small
a1_t2s,yolo12n,2.6,128,1,1,0.1279,0.2312,0.419,0.1819,0.2537,709,596,110,YOLOv12,small
a1_t2s,yolo12n,2.6,500,1,1,0.1235,0.2396,0.4258,0.237,0.3045,709,559,136,YOLOv12,small
a2_s2t,yolo12n,2.6,32,1,1,0.0755,0.1894,0.2925,0.2483,0.2686,451,328,207,YOLOv12,small
a2_s2t,yolo12n,2.6,128,1,1,0.1727,0.4088,0.4841,0.4016,0.439,451,228,276,YOLOv12,small
a2_s2t,yolo12n,2.6,500,1,1,0.2738,0.4811,0.5742,0.4213,0.486,451,207,251,YOLOv12,small
b_light,yolo12n,2.6,32,1,1,0.4018,0.6686,0.8533,0.5204,0.6465,436,224,20,YOLOv12,small
b_light,yolo12n,2.6,128,1,1,0.4674,0.7623,0.8747,0.6995,0.7774,436,116,75,YOLOv12,small
b_light,yolo12n,2.6,500,1,1,0.5105,0.821,0.8086,0.7751,0.7915,436,77,142,YOLOv12,small
0_all,yolo11n,2.6,32,1,1,0.4608,0.7781,0.8187,0.6724,0.7384,1160,404,108,YOLOv11,small
0_all,yolo11n,2.6,128,1,1,0.5634,0.8692,0.9188,0.7647,0.8347,1160,218,129,YOLOv11,small
0_all,yolo11n,2.6,500,1,1,0.6173,0.931,0.8814,0.8716,0.8765,1160,96,193,YOLOv11,small
a1_t2s,yolo11n,2.6,32,1,1,0.0513,0.1156,0.1583,0.0973,0.1205,709,667,51,YOLOv11,small
a1_t2s,yolo11n,2.6,128,1,1,0.1104,0.2072,0.4623,0.1608,0.2386,709,591,120,YOLOv11,small
a1_t2s,yolo11n,2.6,500,1,1,0.1081,0.214,0.5044,0.1904,0.2765,709,559,200,YOLOv11,small
a2_s2t,yolo11n,2.6,32,1,1,0.1128,0.2587,0.4749,0.2395,0.3184,451,369,41,YOLOv11,small
a2_s2t,yolo11n,2.6,128,1,1,0.2812,0.5307,0.6681,0.4856,0.5624,451,243,58,YOLOv11,small
a2_s2t,yolo11n,2.6,500,1,1,0.3067,0.564,0.7336,0.5251,0.6121,451,201,101,YOLOv11,small
b_light,yolo11n,2.6,32,1,1,0.3423,0.6243,0.8353,0.5235,0.6436,436,169,129,YOLOv11,small
b_light,yolo11n,2.6,128,1,1,0.4622,0.7568,0.8562,0.6881,0.763,436,129,58,YOLOv11,small
b_light,yolo11n,2.6,500,1,1,0.5023,0.7871,0.8831,0.6927,0.7764,436,93,129,YOLOv11,small
0_all,yolo12x,59.1,32,1,2,0.3928,0.7291,0.8008,0.6595,0.7233,1160,340,248,YOLOv12,large
0_all,yolo12x,59.1,128,1,2,0.5782,0.868,0.8924,0.7795,0.8321,1160,273,73,YOLOv12,large
0_all,yolo12x,59.1,500,1,2,0.6268,0.9322,0.9119,0.8651,0.8879,1160,117,129,YOLOv12,large
a1_t2s,yolo12x,59.1,32,1,2,0.0515,0.1246,0.3315,0.1213,0.1776,709,624,150,YOLOv12,large
a1_t2s,yolo12x,59.1,128,1,2,0.0862,0.1598,0.3428,0.1608,0.2189,709,582,262,YOLOv12,large
a1_t2s,yolo12x,59.1,500,1,2,0.1018,0.1809,0.4279,0.1834,0.2567,709,561,255,YOLOv12,large
a2_s2t,yolo12x,59.1,32,1,2,0.1052,0.2744,0.4567,0.2949,0.3584,451,320,96,YOLOv12,large
a2_s2t,yolo12x,59.1,128,1,2,0.2671,0.4986,0.6799,0.4767,0.5605,451,225,85,YOLOv12,large
a2_s2t,yolo12x,59.1,500,1,2,0.3481,0.6665,0.7584,0.5588,0.6435,451,126,200,YOLOv12,large
b_light,yolo12x,59.1,32,1,2,0.3431,0.6175,0.8447,0.5116,0.6372,436,203,59,YOLOv12,large
b_light,yolo12x,59.1,128,1,2,0.458,0.713,0.8763,0.6216,0.7273,436,165,36,YOLOv12,large
b_light,yolo12x,59.1,500,1,2,0.513,0.8092,0.874,0.6999,0.7773,436,99,101,YOLOv12,large
0_all,yolo11x,56.9,32,1,2,0.4213,0.7345,0.8027,0.6198,0.6995,1160,456,103,YOLOv11,large
0_all,yolo11x,56.9,128,1,2,0.5753,0.8539,0.899,0.7586,0.8229,1160,302,60,YOLOv11,large
0_all,yolo11x,56.9,500,1,2,0.6358,0.9278,0.9267,0.8722,0.8987,1160,112,103,YOLOv11,large
a1_t2s,yolo11x,56.9,32,1,2,0.085,0.1747,0.3071,0.1707,0.2194,709,593,145,YOLOv11,large
a1_t2s,yolo11x,56.9,128,1,2,0.0811,0.1849,0.4112,0.1497,0.2195,709,588,194,YOLOv11,large
a1_t2s,yolo11x,56.9,500,1,2,0.0769,0.1416,0.3609,0.1566,0.2184,709,582,278,YOLOv11,large
a2_s2t,yolo11x,56.9,32,1,2,0.0821,0.197,0.4012,0.1663,0.2351,451,383,48,YOLOv11,large
a2_s2t,yolo11x,56.9,128,1,2,0.2105,0.4329,0.5653,0.388,0.4602,451,218,296,YOLOv11,large
a2_s2t,yolo11x,56.9,500,1,2,0.3082,0.5882,0.7131,0.5188,0.6007,451,174,181,YOLOv11,large
b_light,yolo11x,56.9,32,1,2,0.3851,0.6778,0.8071,0.5853,0.6785,436,165,79,YOLOv11,large
b_light,yolo11x,56.9,128,1,2,0.4846,0.7452,0.8742,0.6375,0.7373,436,151,45,YOLOv11,large
b_light,yolo11x,56.9,500,1,2,0.5391,0.823,0.8667,0.7456,0.8016,436,91,57,YOLOv11,large
0_all,rtdetr-x,86.0,32,1,2,0.4795,0.7874,0.8568,0.7017,0.7716,1160,236,405,DETR,large
0_all,rtdetr-x,86.0,128,1,2,0.5521,0.8739,0.8937,0.8118,0.8508,1160,127,499,DETR,large
0_all,rtdetr-x,86.0,500,1,2,0.5599,0.8683,0.8545,0.7621,0.8056,1160,85,1188,DETR,large
a1_t2s,rtdetr-x,86.0,32,1,2,0.0668,0.156,0.382,0.1594,0.2249,709,600,122,DETR,large
a1_t2s,rtdetr-x,86.0,128,1,2,0.0942,0.1731,0.3795,0.2144,0.274,709,523,622,DETR,large
a1_t2s,rtdetr-x,86.0,500,1,2,0.2297,0.4145,0.6612,0.402,0.5,709,336,754,DETR,large
a2_s2t,rtdetr-x,86.0,32,1,2,0.3283,0.5932,0.7039,0.5543,0.6202,451,123,657,DETR,large
a2_s2t,rtdetr-x,86.0,128,1,2,0.4218,0.6873,0.7167,0.643,0.6778,451,93,793,DETR,large
a2_s2t,rtdetr-x,86.0,500,1,2,0.4279,0.7276,0.7906,0.6446,0.7102,451,89,460,DETR,large
b_light,rtdetr-x,86.0,32,1,2,0.3302,0.5988,0.764,0.5367,0.6305,436,163,146,DETR,large
b_light,rtdetr-x,86.0,128,1,2,0.4735,0.7502,0.848,0.672,0.7498,436,102,208,DETR,large
b_light,rtdetr-x,86.0,500,1,2,0.533,0.8389,0.8704,0.7913,0.829,436,56,339,DETR,large
0_all,rtdetr-l,45.0,32,1,2,0.5001,0.8236,0.8518,0.7655,0.8064,1160,199,372,DETR,small
0_all,rtdetr-l,45.0,128,1,2,0.5466,0.8599,0.8955,0.7834,0.8357,1160,166,320,DETR,small
0_all,rtdetr-l,45.0,500,1,2,0.6238,0.9274,0.914,0.8457,0.8785,1160,65,418,DETR,small
a1_t2s,rtdetr-l,45.0,32,1,2,0.0763,0.1797,0.4304,0.2003,0.2734,709,543,391,DETR,small
a1_t2s,rtdetr-l,45.0,128,1,2,0.1125,0.2208,0.522,0.213,0.3025,709,502,436,DETR,small
a1_t2s,rtdetr-l,45.0,500,1,2,0.1241,0.2088,0.4433,0.2112,0.2861,709,536,259,DETR,small
a2_s2t,rtdetr-l,45.0,32,1,2,0.366,0.655,0.7454,0.5632,0.6416,451,139,222,DETR,small
a2_s2t,rtdetr-l,45.0,128,1,2,0.3678,0.6287,0.7514,0.5543,0.638,451,135,368,DETR,small
a2_s2t,rtdetr-l,45.0,500,1,2,0.4372,0.7355,0.8351,0.6511,0.7317,451,109,281,DETR,small
b_light,rtdetr-l,45.0,32,1,2,0.3401,0.6202,0.8298,0.5344,0.6501,436,184,72,DETR,small
b_light,rtdetr-l,45.0,128,1,2,0.4607,0.7364,0.8636,0.6388,0.7344,436,112,246,DETR,small
b_light,rtdetr-l,45.0,500,1,2,0.5244,0.7904,0.8606,0.736,0.7934,436,79,242,DETR,small
0_all,yolo12n,2.6,32,1,2,0.4431,0.7721,0.7844,0.7055,0.7428,1160,310,237,YOLOv12,small
0_all,yolo12n,2.6,128,1,2,0.5593,0.8726,0.8706,0.8009,0.8343,1160,217,130,YOLOv12,small
0_all,yolo12n,2.6,500,1,2,0.61,0.9256,0.9017,0.8707,0.8859,1160,118,148,YOLOv12,small
0_all,yolo12x,59.1,32,1,2,0.4084,0.6988,0.8168,0.575,0.6749,1160,550,76,YOLOv12,large
0_all,yolo12x,59.1,128,1,2,0.5632,0.8675,0.8705,0.7845,0.8253,1160,257,110,YOLOv12,large
0_all,yolo12x,59.1,500,1,2,0.6221,0.9343,0.9192,0.8534,0.8851,1160,118,173,YOLOv12,large
a1_t2s,yolo12x,59.1,32,1,2,0.0517,0.1298,0.3349,0.1128,0.1688,709,631,121,YOLOv12,large
a1_t2s,yolo12x,59.1,128,1,2,0.1135,0.2123,0.4244,0.1834,0.2561,709,569,217,YOLOv12,large
a1_t2s,yolo12x,59.1,500,1,2,0.1173,0.2069,0.4907,0.1932,0.2773,709,549,264,YOLOv12,large
a2_s2t,yolo12x,59.1,32,1,2,0.1135,0.2738,0.4383,0.2794,0.3412,451,334,88,YOLOv12,large
a2_s2t,yolo12x,59.1,128,1,2,0.1315,0.3378,0.4746,0.3326,0.3911,451,202,824,YOLOv12,large
a2_s2t,yolo12x,59.1,500,1,2,0.3511,0.6077,0.6862,0.5499,0.6105,451,158,217,YOLOv12,large
b_light,yolo12x,59.1,32,1,2,0.3207,0.5859,0.7484,0.5183,0.6125,436,196,97,YOLOv12,large
b_light,yolo12x,59.1,128,1,2,0.4571,0.7007,0.883,0.6009,0.7151,436,158,53,YOLOv12,large
b_light,yolo12x,59.1,500,1,2,0.5255,0.8015,0.8686,0.7225,0.7888,436,108,78,YOLOv12,large
0_all,yolo12n,2.6,32,1,2,0.4189,0.7219,0.8249,0.6174,0.7062,1160,503,90,YOLOv12,small
0_all,yolo12n,2.6,128,1,2,0.5493,0.8659,0.8764,0.7845,0.8279,1160,209,201,YOLOv12,small
0_all,yolo12n,2.6,500,1,2,0.6108,0.927,0.8949,0.8612,0.8777,1160,101,210,YOLOv12,small
a1_t2s,yolo12n,2.6,32,1,2,0.0507,0.1284,0.2839,0.1157,0.1644,709,626,121,YOLOv12,small
a1_t2s,yolo12n,2.6,128,1,2,0.1109,0.2035,0.4137,0.158,0.2286,709,603,91,YOLOv12,small
a1_t2s,yolo12n,2.6,500,1,2,0.1259,0.2422,0.4826,0.2158,0.2982,709,548,176,YOLOv12,small
a2_s2t,yolo12n,2.6,32,1,2,0.127,0.3186,0.4041,0.4035,0.4038,451,227,321,YOLOv12,small
a2_s2t,yolo12n,2.6,128,1,2,0.3375,0.5709,0.7213,0.4922,0.5851,451,244,44,YOLOv12,small
a2_s2t,yolo12n,2.6,500,1,2,0.2692,0.5051,0.6634,0.4457,0.5332,451,199,262,YOLOv12,small
b_light,yolo12n,2.6,32,1,2,0.2922,0.5492,0.7167,0.499,0.5884,436,200,108,YOLOv12,small
b_light,yolo12n,2.6,128,1,2,0.4392,0.7516,0.8643,0.6674,0.7532,436,110,119,YOLOv12,small
b_light,yolo12n,2.6,500,1,2,0.5228,0.8172,0.8992,0.7364,0.8097,436,96,48,YOLOv12,small
0_all,yolo11n,2.6,32,1,2,0.4232,0.7417,0.8058,0.6526,0.7212,1160,340,260,YOLOv11,small
0_all,yolo11n,2.6,128,1,2,0.5739,0.8789,0.9007,0.8056,0.8505,1160,214,94,YOLOv11,small
0_all,yolo11n,2.6,500,1,2,0.6194,0.9242,0.9117,0.854,0.8819,1160,122,162,YOLOv11,small
a1_t2s,yolo11n,2.6,32,1,2,0.047,0.1258,0.3477,0.1269,0.186,709,590,367,YOLOv11,small
a1_t2s,yolo11n,2.6,128,1,2,0.104,0.2034,0.576,0.1533,0.2422,709,582,140,YOLOv11,small
a1_t2s,yolo11n,2.6,500,1,2,0.1352,0.2536,0.5161,0.2257,0.314,709,535,197,YOLOv11,small
a2_s2t,yolo11n,2.6,32,1,2,0.1213,0.2537,0.5136,0.1885,0.2757,451,378,33,YOLOv11,small
a2_s2t,yolo11n,2.6,128,1,2,0.3041,0.5367,0.7356,0.4656,0.5703,451,249,53,YOLOv11,small
a2_s2t,yolo11n,2.6,500,1,2,0.3466,0.6522,0.759,0.5657,0.6482,451,172,125,YOLOv11,small
b_light,yolo11n,2.6,32,1,2,0.4035,0.6797,0.7943,0.578,0.6691,436,199,42,YOLOv11,small
b_light,yolo11n,2.6,128,1,2,0.463,0.7562,0.8574,0.6904,0.7649,436,130,50,YOLOv11,small
b_light,yolo11n,2.6,500,1,2,0.5445,0.8338,0.8606,0.7546,0.8041,436,94,75,YOLOv11,small
0_all,yolo12x,59.1,32,6,1,0.4482,0.7243,0.8272,0.5737,0.6776,1160,551,70,YOLOv12,large
0_all,yolo12x,59.1,128,6,1,0.5758,0.8588,0.9004,0.7559,0.8218,1160,300,56,YOLOv12,large
0_all,yolo12x,59.1,500,6,1,0.6324,0.9341,0.9152,0.8649,0.8894,1160,109,145,YOLOv12,large
a1_t2s,yolo12x,59.1,32,6,1,0.0583,0.156,0.1829,0.1509,0.1654,709,650,49,YOLOv12,large
a1_t2s,yolo12x,59.1,128,6,1,0.1161,0.2167,0.4722,0.1932,0.2742,709,560,163,YOLOv12,large
a1_t2s,yolo12x,59.1,500,6,1,0.1215,0.2125,0.5276,0.1862,0.2752,709,537,327,YOLOv12,large
a2_s2t,yolo12x,59.1,32,6,1,0.1145,0.3014,0.4605,0.3304,0.3847,451,279,200,YOLOv12,large
a2_s2t,yolo12x,59.1,128,6,1,0.2157,0.4304,0.5036,0.439,0.4691,451,235,176,YOLOv12,large
a2_s2t,yolo12x,59.1,500,6,1,0.3399,0.606,0.8125,0.5166,0.6316,451,192,115,YOLOv12,large
b_light,yolo12x,59.1,32,6,1,0.3863,0.655,0.8341,0.5642,0.6731,436,191,43,YOLOv12,large
