data,pretrain,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
e_IMU,False,yolo12n,2.6,16,5,5,0.3936,0.7167,0.7999,0.5888,0.6783,808,279,191,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,5,0.4081,0.7364,0.7362,0.6814,0.7077,408,127,80,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,5,0.471,0.8014,0.7891,0.7061,0.7453,408,89,142,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,5,0.3903,0.7096,0.7603,0.6084,0.6759,808,315,138,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,5,0.383,0.7017,0.7137,0.6078,0.6565,808,341,125,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,5,0.409,0.7645,0.7592,0.6765,0.7155,408,98,175,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,5,0.4989,0.8481,0.8368,0.7668,0.8003,408,67,135,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,6,0.3969,0.7452,0.7768,0.6795,0.7249,808,179,295,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,6,0.407,0.7909,0.85,0.6931,0.7636,808,132,453,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,6,0.4532,0.7538,0.8272,0.6961,0.756,408,116,92,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,6,0.5089,0.8265,0.816,0.7525,0.783,408,52,322,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,6,0.3616,0.6919,0.7626,0.6151,0.6809,808,171,931,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,6,0.431,0.7767,0.7951,0.6881,0.7378,808,179,313,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,6,0.4588,0.7715,0.8076,0.6838,0.7406,408,83,200,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,6,0.5171,0.8375,0.7906,0.7679,0.7791,408,45,254,DETR,small
e_IMU,True,yolo12n,2.6,16,5,6,0.3019,0.6464,0.698,0.5864,0.6374,808,210,745,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,6,0.3671,0.7282,0.7553,0.6473,0.6971,808,239,209,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,6,0.366,0.6649,0.6726,0.6397,0.6557,408,144,125,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,6,0.4644,0.774,0.8447,0.6446,0.7312,408,139,56,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,6,0.3109,0.6703,0.7694,0.5594,0.6478,808,255,324,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,6,0.3466,0.7274,0.8018,0.6176,0.6977,808,220,317,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,6,0.4187,0.7263,0.7671,0.6378,0.6965,408,161,51,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,6,0.4793,0.7983,0.8689,0.6569,0.7482,408,136,50,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,7,0.3989,0.7247,0.833,0.6238,0.7133,808,207,346,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,7,0.4123,0.7612,0.7874,0.6969,0.7394,808,162,322,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,7,0.3544,0.6693,0.7569,0.6103,0.6758,408,163,66,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,7,0.4945,0.8279,0.8154,0.7647,0.7892,408,66,127,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,7,0.4073,0.7459,0.743,0.7092,0.7257,808,157,450,DETR,small
